id,location,survival_target,location_target,month_target,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
49,Upper Sacramento River,juv_rear,Upper-mid Sacramento River,5,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
49,Battle Creek,juv_rear,Upper-mid Sacramento River,5,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
50,Upper Sacramento River,juv_rear,Lower-mid Sacramento River,5,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
50,Battle Creek,juv_rear,Lower-mid Sacramento River,5,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
51,Upper Sacramento River,juv_rear,Lower Sacramento River,5,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
51,Battle Creek,juv_rear,Lower Sacramento River,5,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
52,Upper Sacramento River,juv_rear,Sutter Bypass,5,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
52,Battle Creek,juv_rear,Sutter Bypass,5,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
53,Upper Sacramento River,juv_rear,Yolo Bypass,5,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
53,Battle Creek,juv_rear,Yolo Bypass,5,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
54,Upper Sacramento River,juv_rear,Battle Creek,5,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
54,Battle Creek,juv_rear,Battle Creek,5,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
55,Upper Sacramento River,juv_migratory,Upper-mid Sacramento River,9,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
55,Battle Creek,juv_migratory,Upper-mid Sacramento River,9,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
56,Upper Sacramento River,juv_migratory,Lower-mid Sacramento River,9,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
56,Battle Creek,juv_migratory,Lower-mid Sacramento River,9,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
57,Upper Sacramento River,juv_migratory,Lower Sacramento River,9,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
57,Battle Creek,juv_migratory,Lower Sacramento River,9,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
58,Upper Sacramento River,juv_migratory,Sutter Bypass,9,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
58,Battle Creek,juv_migratory,Sutter Bypass,9,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
59,Upper Sacramento River,juv_migratory,Yolo Bypass,9,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
59,Battle Creek,juv_migratory,Yolo Bypass,9,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
60,Upper Sacramento River,juv_migratory,Battle Creek,9,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
60,Battle Creek,juv_migratory,Battle Creek,9,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
61,Upper Sacramento River,juv_migratory,Upper-mid Sacramento River,10,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
61,Battle Creek,juv_migratory,Upper-mid Sacramento River,10,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
62,Upper Sacramento River,juv_migratory,Lower-mid Sacramento River,10,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
62,Battle Creek,juv_migratory,Lower-mid Sacramento River,10,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
63,Upper Sacramento River,juv_migratory,Lower Sacramento River,10,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
63,Battle Creek,juv_migratory,Lower Sacramento River,10,3780,3594,1398,702,2474,3554,2330,734,278,156,78,96,48,4,8,12,6,6,6,8
64,Upper Sacramento River,juv_migratory,Sutter Bypass,10,3698,3290,1392,1542,3360,3408,2564,1390,606,316,112,148,78,14,28,40,64,112,272,454
